filename,line_total,line_covered,line_percent
libs/common/base64.cc,51,51,100.0
libs/common/config.cc,41,41,100.0
libs/common/jwt.cc,120,120,100.0
libs/common/logger.cc,29,29,100.0
libs/common/logger.h,5,5,100.0
libs/common/sha256.cc,95,95,100.0
libs/network/byte_order.h,6,6,100.0
libs/network/length_prefixed_framer.cc,9,9,100.0
libs/network/length_prefixed_framer.h,2,2,100.0
libs/network/message_router.cc,63,63,100.0
libs/network/message_router.h,8,8,100.0
libs/network/protobuf_framing.cc,7,7,100.0
libs/network/redis_client.cc,128,128,100.0
libs/network/redis_client.h,5,5,100.0
libs/network/redis_protocol.cc,70,70,100.0
libs/network/redis_protocol.h,1,1,100.0
libs/network/session.h,1,1,100.0
libs/network/tcp_client.cc,17,17,100.0
libs/network/tcp_client.h,2,2,100.0
libs/network/tcp_server.cc,8,8,100.0
libs/network/tcp_session.cc,38,38,100.0
libs/network/tcp_session.h,1,1,100.0
libs/network/websocket_client.cc,28,26,92.85714285714286
libs/network/websocket_client.h,3,3,100.0
libs/network/websocket_frame.cc,68,68,100.0
libs/network/websocket_frame.h,1,1,100.0
libs/network/websocket_server.cc,8,8,100.0
libs/network/websocket_session.cc,89,89,100.0
libs/network/websocket_session.h,1,1,100.0
libs/network/websocket_util.cc,104,104,100.0
libs/network/websocket_utils.h,5,5,100.0
sdks/core/src/sdk.cc,21,21,100.0
sdks/core/src/sdk_client.cc,203,203,100.0
services/chat/src/channel_manager.cc,306,306,100.0
services/chat/src/channel_manager.h,2,2,100.0
services/chat/src/chat_session_registry.cc,40,40,100.0
services/chat/src/chat_validation.cc,31,31,100.0
services/chat/src/distributed_dispatch.cc,31,31,100.0
services/chat/src/distributed_runtime.cc,15,15,100.0
services/chat/src/group_manager.cc,109,109,100.0
services/chat/src/group_manager.h,4,4,100.0
services/chat/src/mention_manager.cc,123,123,100.0
services/chat/src/mention_manager.h,1,1,100.0
services/chat/src/message_edit_manager.cc,136,136,100.0
services/chat/src/message_edit_manager.h,1,1,100.0
services/chat/src/message_store_config.cc,28,28,100.0
services/chat/src/reaction_manager.cc,119,119,100.0
services/chat/src/reaction_manager.h,1,1,100.0
services/chat/src/read_receipt_manager.cc,60,60,100.0
services/chat/src/read_receipt_manager.h,2,2,100.0
services/chat/src/runtime_utils.cc,27,27,100.0
services/chat/src/typing_manager.cc,85,85,100.0
services/chat/src/typing_manager.h,1,1,100.0
services/gateway/src/auth_client.cc,87,87,100.0
services/gateway/src/gateway_session_registry.cc,41,41,100.0
services/gateway/src/redis_session_manager.cc,50,50,100.0
services/gateway/src/redis_session_manager.h,1,1,100.0
services/notification/src/notification_service.cc,216,216,100.0
services/notification/src/notification_service.h,3,3,100.0
services/search/src/message_search_service.cc,199,199,100.0
services/search/src/message_search_service.h,1,1,100.0
